Ward,ZoneType,CulturalHeritageZone,FloodRiskLevel,NearbyConstruction,DistanceToStation_m,DistanceToSchool_m,DistanceToHospital_m,RoadType,ViewQuality,NoiseLevel,TravelTimeToMajorHub_min,NumberOfTrainLines_at_NearestStation,RestaurantDensity_in_500m,ConvenienceStoreCount_in_250m,ParkAreaRatio_in_1km,PropertyType,ConstructionMaterial,YearBuilt,YearRenovated,Floors,Orientation,LandArea_sqm,TotalFloorArea_sqm,FloorHeight_cm,EarthquakeResistant,HasBalcony,HasRooftop,HasGarden,ParkingType,HasParking,PetFriendly,InsulationLevel,HasGym,HasConcierge,HasLounge,HasGuestRoom,RoomCount,BedroomCount,LivingRoomCount,BathroomCount,ToiletCount,KitchenType,KitchenQuality,FloorHeating,CentralAC,LightingSystem,SmartHome,StorageSpace_sqm,HasStorageRoom,WasherDryerIncluded,FurnitureIncluded,IsBathAndToiletSeparate,ExteriorCondition,InteriorCondition,MaintenanceScore,EnergyEfficiencyRating,AirQualityScore,GreenBuildingCertified,ThermalInsulationScore,EarthquakeSafetyScore,MonthlyMaintenanceFee_JPY,OwnershipType,SaleType,SaleCondition,Availability,ListedBy,ListingYear,ListingMonth,LegalComplianceScore,AgentRating,BuildingInsuranceIncluded,LoanSupportAvailable,FirstTimeBuyerEligible,LastSoldPrice_JPY,TatamiRoomPresent,ShojiScreensIncluded,NearbyShrineOrTemple,SeismicZone,SunlightHours,BuildingDensityZone,ForeignOwnershipAllowed,RentalYieldEstimate,PastDisasterHistory,CustomFeature_1,CustomFeature_2,CustomFeature_3,CustomFeature_4,CustomFeature_5,NeighborhoodAvgIncome_JPY,ForeignerPopulationRatio,PopulationGrowthRate,FloorAreaRatio_Limit,BuildingCoverageRatio_Limit,NumberOfListings_in_Ward_Last3Months,AverageDaysOnMarket_in_Ward,AgeScore,IsJikoBukken,IsAirbnbZone,IsOldDangerousBuilding,IsRedevelopmentArea,NearbyNegativeFacility,IsLuxuryNearMajorStation,IsTraditionHighPrice,Price_JPY
Chuo,Residential,1,0.0,Light,159.23372164703864,943.6515278313419,1439.352751032047,Private,Open,2.7515787989932248,27.111172377208753,2,22.722406985085573,0,0.286,Detached,Precast,1970,2000,6,North,98.72122910366292,132.22323515581394,216.40356011640384,1,0,1,1,None,1,0,Low,0,0,1,1,4,2,1,2,1,Closed,Standard,0,0,Auto,0,6.423233497446798,1,0,1,1,1,4,8,C,10,0,4,2,14018.58269230365,Leasehold_30yr,Bank,Normal,Immediate,Agent,2024,12,4,5,1,0,0,44747690.18857768,0,0,0,4,5.392880500882376,Medium,1,6.24,0,Yes,61,18.820093896355946,B,1,6890378.987846316,0.25,0.014,349,45,194,28,1,0,0,0,0,0,0,0,93539000.0
Minato,Commercial,1,2.7416397464647746,Light,225.4472391524801,335.23294753810103,1105.7876668556503,Alley,Open,3.3258604628648105,22.175137624264792,3,42.426964792733685,0,0.179,Mansion,Steel,2009,2009,8,North,146.0110489235968,73.0852939172726,202.8836072785928,1,0,0,1,None,0,1,High,1,0,1,1,3,3,0,2,1,Compact,High-End,1,1,Smart,0,4.989841280801462,0,1,0,1,1,2,8,E,1,1,1,2,11425.127119646952,Leasehold_50yr,Company,Inheritance,Immediate,Owner,2022,1,1,3,0,1,1,63605111.029870845,0,0,0,2,8.619166414725287,Low,1,3.62,1,No,57,41.836435532975145,B,0,5332145.637576586,0.21,-0.004,269,41,161,91,7,0,0,0,0,1,0,0,41348000.0
Setagaya,Residential,0,2.431120964097409,None,279.72048528235223,612.6572471374694,683.6560669612629,Main,Panoramic,2.769963810334672,27.73822930266507,1,11.525999391444234,3,0.144,Mansion,Precast,2010,1997,6,North,193.60165305981707,61.863153299091934,240.1260088048238,1,0,1,1,None,0,0,None,0,0,0,1,1,1,0,1,1,Closed,High-End,1,1,Smart,1,3.7589275260588284,1,1,0,1,1,5,3,A,3,1,10,7,4779.781296185128,Leasehold_50yr,Bank,Normal,Immediate,Agent,2023,1,7,2,0,1,0,49989303.380145036,0,1,1,1,3.4115732046188887,Medium,0,2.27,1,Yes,55,34.220257091777164,B,0,7504555.011550318,0.13,0.029,187,49,159,32,7,0,0,0,0,1,0,0,48532000.0
Taito,Industrial,0,1.36470839531391,Moderate,180.80537213211392,1153.8237839265164,1557.8231070306028,Alley,Partial,3.6753096927143076,40.269340422557995,5,27.73408881472771,3,0.24,RowHouse,Steel,2006,1999,9,South,131.3161516518698,131.73889152010517,264.18183899538326,0,0,1,1,None,1,0,High,0,1,0,0,4,1,1,1,2,Island,Standard,1,1,Standard,1,4.75846619214783,1,1,0,0,3,5,4,E,5,0,6,1,4134.635705014511,Leasehold_30yr,Owner,Normal,Rented,Owner,2024,11,8,2,0,0,0,67963992.39280519,1,1,0,3,4.197086924964683,Medium,1,7.11,1,No,11,48.557182268615044,C,1,7275376.177684866,0.32,-0.011,416,36,68,11,7,0,0,0,0,1,0,1,98333000.0
Shibuya,Industrial,1,2.554940199567337,Light,310.21287692342685,606.2432600883615,1680.829137989466,Main,Panoramic,2.960188077154298,16.055157604554253,5,38.36230976410867,0,0.057,Mansion,Steel,2002,1996,5,South,100.34141405610544,129.2550056216022,298.1982114525229,1,1,0,1,None,1,1,Medium,0,1,0,1,2,3,1,1,2,Compact,Standard,0,0,Standard,1,0.8694501886219692,0,0,0,0,2,1,1,C,2,0,1,3,8654.026510871281,Leasehold_50yr,Owner,Foreclosure,Rented,Owner,2024,4,8,2,1,1,0,66556983.5414846,1,1,0,3,7.246787924631741,Low,0,3.28,0,Yes,10,48.65913803542633,B,1,6607262.618057178,0.18,0.034,261,56,126,83,6,0,0,0,0,1,0,1,80529000.0
Chuo,Industrial,1,0.5514101974837584,Light,475.53857920471614,437.0801881138668,1162.4401785699183,Main,Open,0.07315315956389457,40.14992240765192,4,34.76772553002604,0,0.121,Detached,Precast,2018,2014,3,South,149.4600145190798,85.66403308799447,227.88436386324386,0,0,1,1,Mechanical,1,1,Low,0,0,1,1,4,3,0,1,2,Compact,High-End,0,0,Standard,1,4.884743450254778,0,0,1,1,4,2,4,B,5,1,7,6,18352.143113004586,Leasehold_30yr,Company,Foreclosure,Immediate,Owner,2024,3,9,5,0,0,0,71793941.98581372,0,1,1,2,3.243648800880467,High,1,5.35,0,Yes,12,87.19648813142035,B,0,6303120.401181234,0.22,0.014,277,62,186,71,9,0,0,0,0,0,0,0,60874000.0
Setagaya,Industrial,0,3.0302402128702752,Light,567.4646895072415,1000.2629933917444,1328.1904609041867,Alley,Open,2.354557519150085,11.477819825808272,2,20.25164423471403,5,0.145,Mansion,RC,2015,2020,5,North,287.6713278144347,107.50053500800672,243.6419766310844,0,1,0,1,Mechanical,1,1,Medium,1,0,1,1,1,2,1,1,1,Closed,High-End,1,1,Auto,0,4.039825614678737,0,0,0,0,2,5,5,B,8,0,3,10,6939.744866914591,Leasehold_30yr,Owner,Inheritance,VacantSoon,Owner,2023,4,1,4,0,1,0,69327130.30253176,1,1,1,3,6.695823510029502,Medium,1,3.25,0,No,75,37.73550094064702,A,1,7222570.095208835,0.38,-0.007,115,61,110,38,8,0,0,0,0,1,0,1,80476000.0
Setagaya,Commercial,1,1.66637544820595,Moderate,555.3269893525631,1422.0596738122535,370.93241987439956,Private,Open,2.2770253443465207,30.330807403753987,4,21.91754507011976,0,0.097,Detached,Wood,1986,1992,4,South,80.47370525811873,65.72651973575088,219.20752981571786,0,1,1,1,Mechanical,0,0,Low,0,1,0,1,5,1,0,1,1,Closed,Standard,1,0,Standard,1,2.9504939566237,1,0,0,0,4,3,8,D,3,0,7,3,9229.23907707135,Freehold,Bank,Normal,Rented,Owner,2023,6,3,1,0,1,0,60817022.422935784,0,1,1,3,4.910181103747795,Low,0,2.51,1,Yes,18,63.05387680333006,A,1,6489895.309752695,0.27,0.016,118,61,79,54,3,0,0,0,0,1,0,0,43115000.0
Shibuya,Residential,0,1.1710723869951045,Moderate,50.0,557.4064529412385,1649.5092433394414,Private,Panoramic,3.356541165570124,35.10211877078358,3,19.93207440673396,4,0.118,RowHouse,Steel,1978,2022,3,West,67.93348473791552,60.382256301467265,271.7399682007656,0,0,1,0,Manual,0,0,Low,1,0,0,1,5,1,0,1,2,Closed,High-End,0,0,Smart,1,0.8430624915760943,1,1,1,0,2,4,4,E,5,1,6,1,22748.45026312959,Freehold,Owner,Inheritance,Rented,Owner,2021,2,1,4,0,0,1,42769497.81293144,0,0,0,4,1.0,Medium,1,7.8,0,Yes,98,65.03545339783064,A,1,3708887.041806034,0.03,0.047,413,55,44,22,1,0,0,1,0,1,0,0,53421000.0
Chuo,Commercial,0,1.3782984437611123,None,495.04897337785934,1167.207739442851,1517.3045358911854,Main,Blocked,3.912215611317931,31.444345026955176,5,35.992276306643895,0,0.033,Apartment,Precast,2000,2016,1,South,181.2373324989866,75.74105878935242,246.43059851286674,1,0,0,1,Manual,0,1,Medium,1,1,0,1,5,2,1,1,2,Compact,High-End,0,0,Standard,1,5.273502161425467,0,0,1,0,3,5,5,A,1,1,10,3,10288.234649904596,Leasehold_30yr,Owner,Foreclosure,Rented,Agent,2024,4,2,4,1,1,1,70592580.13525674,1,1,0,1,5.230270751647256,Medium,1,2.17,0,Yes,51,46.407597027595266,A,0,7242626.848572384,0.33,0.039,229,43,195,87,5,0,0,0,0,0,0,0,51416000.0
Taito,Residential,0,1.7685150139997876,Light,510.47462317828166,520.0475100306385,1300.0895656480025,Private,Open,2.2267958223989264,35.4755377833491,3,22.600762714844915,2,0.067,Mansion,Precast,2004,2013,8,West,171.83202557441098,76.0372515991102,248.79694820818466,0,0,0,0,None,1,0,Low,0,1,1,1,1,2,1,1,2,Island,High-End,0,0,Standard,0,2.4621261074623453,0,1,0,1,3,4,3,D,6,1,5,4,3000.0,Leasehold_30yr,Owner,Foreclosure,Rented,Owner,2022,4,3,3,0,0,0,48520867.770511374,0,1,0,4,5.178673912482061,Medium,1,7.01,1,Yes,45,67.41098839385182,B,0,5096086.760346378,0.08,0.049,110,65,38,84,6,0,0,0,0,1,0,0,46797000.0
Shinjuku,Residential,1,1.9879879267005367,Heavy,234.40021407220604,766.259665667896,699.0201695265239,Alley,Partial,1.0301485761533662,23.724911818868048,5,32.5512308812345,2,0.107,RowHouse,Wood,1972,2023,4,North,67.92829501323621,66.0942112068854,242.59354022305735,1,1,1,1,None,0,1,High,1,0,0,0,3,2,0,2,2,Island,High-End,0,0,Auto,1,2.1208393799948224,1,1,0,0,1,2,3,D,9,1,7,1,9986.744840495265,Leasehold_30yr,Owner,Foreclosure,VacantSoon,Agent,2020,7,5,1,1,1,0,51788198.63970989,1,0,1,4,5.430480569332325,High,1,7.62,1,No,58,51.00518883808232,B,1,4429177.246456867,0.27,0.003,166,64,49,25,1,0,0,0,0,1,0,0,53119000.0
Chuo,Residential,1,2.048280280399407,Moderate,816.9210515767847,779.2601180896561,542.2502235051443,Alley,Open,2.8674588157376206,12.26868815177291,5,32.64301414075955,5,0.241,Mansion,Wood,1982,2007,3,East,135.4713693843438,125.23777848391384,223.29054869710956,1,0,0,0,Manual,0,1,High,0,0,0,0,1,2,0,1,1,Island,Standard,1,0,Auto,0,7.983926283081804,0,0,0,0,5,5,5,D,1,0,5,4,8216.846307235823,Freehold,Bank,Foreclosure,VacantSoon,Agent,2023,2,7,4,0,1,0,54877948.69764116,0,0,1,4,6.384686033827151,Low,1,5.02,1,Yes,94,63.78665068432637,A,1,4336133.2463688245,0.35,0.049,106,63,11,75,2,0,0,0,0,0,0,0,78504000.0
Shibuya,Commercial,0,1.570392556041876,None,671.9165579536468,565.4054779754101,2010.630165444507,Alley,Panoramic,1.568862180670243,35.50254687716908,5,53.68393468235372,1,0.063,Detached,RC,2021,2023,4,West,102.92495187973968,94.15361516810253,258.21970319368,1,1,0,0,None,1,0,Low,0,0,0,1,4,3,1,2,1,Closed,High-End,1,0,Auto,1,4.537094705553146,1,0,1,1,3,4,2,C,1,1,10,9,11177.985414885567,Freehold,Bank,Normal,VacantSoon,Agent,2022,7,7,4,1,0,1,69155416.96405028,1,1,0,2,6.187738234430041,High,1,3.02,0,Yes,27,46.70322546596111,B,0,6770614.614976888,0.36,0.008,283,59,189,12,10,0,0,0,0,1,0,1,77936000.0
Setagaya,Residential,1,2.200239573461479,Light,354.2439042147389,1062.6185934644416,800.1717950853154,Main,Partial,1.772726758085608,43.48615197920182,1,33.13251259801704,3,0.111,Mansion,Steel,2006,2017,1,West,57.74123187060344,51.57009345617864,260.5679567497671,0,0,1,0,Manual,1,1,Low,1,0,1,1,3,3,1,1,1,Closed,Standard,0,0,Auto,0,2.0587591727426537,0,0,1,1,3,5,1,B,7,1,2,10,12722.458913566712,Leasehold_50yr,Bank,Foreclosure,Immediate,Agent,2022,10,9,5,1,0,0,59145247.91821673,0,0,0,2,5.009230148795021,Medium,0,2.97,0,Yes,70,21.78302161223415,A,0,6468240.489691492,0.07,0.017,211,53,142,91,7,0,0,0,0,1,0,0,38641000.0
Taito,Commercial,0,2.0082792743334337,Heavy,251.00792368294182,338.08372684276844,1253.6736569160425,Main,Panoramic,5.0,23.353567174552513,3,21.888559852495366,1,0.029,Apartment,Wood,2007,2002,6,West,60.39627889164228,64.8284921850877,265.63232102769535,1,0,1,0,None,1,0,High,1,0,0,1,5,2,1,1,2,Island,Standard,0,1,Standard,0,5.921616063353443,1,0,0,0,1,5,5,C,8,1,9,2,22238.868334907565,Leasehold_50yr,Bank,Foreclosure,Rented,Owner,2020,8,9,4,0,0,0,68981284.72964373,1,1,1,4,7.2877808744731,High,0,3.06,1,Yes,15,49.3806114849498,C,1,4320239.6850038115,0.2,0.025,471,49,182,48,7,0,0,0,0,1,0,0,45974000.0
Chuo,Industrial,0,1.3524270044256008,Moderate,812.8611152357398,858.5142830477237,812.5230649041881,Private,Blocked,1.6867293949055875,31.819392136448926,4,15.398497379336009,0,0.172,Mansion,RC,1983,2009,3,North,91.32805454221872,41.17846262674298,261.18611328856736,1,1,1,1,None,0,1,None,1,1,1,1,1,1,1,1,1,Compact,High-End,1,0,Smart,1,3.903895088986584,0,1,0,1,5,1,10,B,2,0,1,3,12898.432874593227,Leasehold_30yr,Owner,Foreclosure,VacantSoon,Owner,2023,2,9,4,1,1,0,57365397.39286303,0,1,1,4,4.254845480763256,Low,0,2.94,0,No,1,91.68162387277188,C,0,8592909.140030945,0.18,0.046,175,63,124,89,2,0,0,0,0,1,0,0,31650000.0
Shinjuku,Industrial,0,1.201809375578736,Heavy,395.24656553513637,1122.2493734578784,284.4365245382445,Alley,Blocked,0.622150248566177,16.736095516665962,2,27.241472853622547,3,0.187,Apartment,Steel,1975,2002,8,West,127.95832666082651,86.9651025138464,220.94292322283997,1,0,0,1,None,0,1,Low,0,0,0,0,2,1,0,2,2,Island,Standard,0,1,Smart,0,6.323818553160715,1,0,0,0,3,1,1,E,3,0,10,5,8968.029351938325,Freehold,Owner,Foreclosure,VacantSoon,Owner,2023,8,6,3,0,1,1,76412651.90752763,0,0,0,1,5.580856289959158,Low,1,7.27,1,No,31,52.48318471700379,C,1,4499415.019855723,0.2,0.037,215,34,10,18,1,0,0,0,0,0,0,0,65562000.0
Shinjuku,Residential,0,2.6083655428948376,Moderate,421.25926441510177,1037.6490407732613,1379.202799861601,Alley,Panoramic,3.224287717850195,15.981789348725195,4,28.809141575726816,0,0.261,Apartment,Steel,1998,2003,10,North,155.21216947241038,147.8872556942938,236.09059940801922,0,0,0,1,Manual,0,0,High,1,1,0,1,5,1,1,1,2,Closed,High-End,0,0,Standard,1,0.9630586101765868,0,1,1,0,3,2,5,C,8,1,6,6,9860.070561830114,Leasehold_50yr,Owner,Foreclosure,Rented,Owner,2021,10,5,5,0,1,0,70645646.00808525,0,1,1,5,3.2520816187723787,Medium,1,6.26,1,Yes,5,52.66110654460386,A,1,5949089.285849374,0.06,0.032,247,56,194,31,5,0,0,0,0,0,0,0,96614000.0
Minato,Commercial,1,2.5243260359979054,None,418.1141492814623,947.3645182356973,1441.5442395335062,Main,Open,3.348460194309618,26.073495051810987,3,7.893004726094443,3,0.248,Mansion,Precast,2018,2018,5,West,100.15464012214753,101.83611444559105,248.64351531092674,1,0,1,0,None,0,1,None,0,0,0,0,2,1,1,2,2,Closed,High-End,1,1,Smart,0,4.538055076542036,0,0,0,1,2,4,4,A,6,0,10,5,10281.352582847292,Leasehold_30yr,Company,Normal,Immediate,Owner,2023,5,7,5,1,1,1,64582284.80139808,0,1,0,4,1.0,High,0,3.88,1,No,86,87.7025214469057,C,0,7487498.030267897,0.28,0.001,307,41,198,20,9,0,0,0,0,1,0,0,78464000.0
Minato,Industrial,0,2.0571363551612634,Heavy,975.7761178039951,1275.5898179604014,532.4811910530353,Main,Partial,3.5543049918752443,17.723414445200568,2,22.861458397069867,5,0.093,RowHouse,Wood,1978,2000,9,North,106.52107139672117,94.11613151452954,227.4271096984701,0,1,0,0,Manual,1,1,None,0,0,0,0,3,1,1,1,1,Closed,High-End,0,0,Smart,0,2.931798700011739,1,1,1,0,4,1,10,E,6,1,10,8,16609.064124078912,Leasehold_50yr,Owner,Inheritance,VacantSoon,Agent,2022,4,5,4,1,0,0,57427976.75459742,0,0,0,1,3.435371689372251,Low,1,2.43,1,Yes,93,17.987728760980353,A,0,5966243.171284138,0.24,0.018,386,64,54,25,1,0,0,1,0,1,0,0,61203000.0
Shibuya,Commercial,0,2.924195465990201,Light,345.87118397324014,734.1147898757944,1643.3140881777877,Main,Open,3.5078217509513205,25.962201984482068,4,32.97352542827553,4,0.05,Mansion,RC,2005,1993,9,East,148.95292004696785,30.890744595453448,217.1422646494558,1,1,1,1,None,1,1,Medium,0,0,1,1,5,2,1,1,2,Closed,Standard,0,0,Standard,1,3.721663296736908,0,0,0,1,4,1,8,C,6,1,8,5,17378.32255240153,Leasehold_30yr,Company,Inheritance,Immediate,Agent,2021,5,3,1,1,1,0,46714619.98201562,0,0,1,2,5.199248049003289,Medium,0,6.98,1,No,13,50.54134490685523,A,0,5962771.591076259,0.32,0.033,341,42,147,95,6,0,0,0,0,0,0,0,27136000.0
